Wallet,Points
0x8034c31c35893f323374c59b3a706f6bc04bd00e,462.44
0x8297337fcf036b2e0bdb815b1b482a79dc945945,370.96
0x83399fa8cae5bb851022f9de6166a2fdab7b9c63,462.44
0x85c4590f69cc2306da433be28dc3618ec12e5d4c,462.44
0x86f55007bbca77f3b896fb4ad007910cc8e5f751,8495.62
0x8a3f6961f4894e41e37a27a4d9a2d3b73fac0cf5,177.86
0x8ca276cc18d8c64ff42af8caea7c9e7e37f11ab1,15.25
0x8f55161236ae6af07d9d97c924de38988cea12bd,337.93
0x8b5b41c9ce9e1b96c1466da98706616964b36264,462.44
0x8fdf6f3badc75602d7bab00bc7a4504f7269b6f5,462.44
0x90cf4fdab5bba09f2df5481c1045e38dffd0bee7,940.12
0x92ba06f456f181ef8e74fa882cecdc4f9a6a2447,462.44
0x93c1124fa17d890227efc9bffb14cfa4ba5fff35,462.44
0x958d62982da21516754c3101c92ad17f3a4415b2,76.23
0x95d8ecf7b8100a9e4cc684c6046750ee6761a741,355.72
0x95c4843f6fd8951509a2986c58672c43c463d4a7,76.23
0x96f64008ac69d03c02999f97292764111ce3ccfd,337.93
0x9976292c0fa31c652e513d8881496ac57c01bfe9,203.27
0x9a3fcb257d7e8cd88f5a38e74bed0ac186f99ac8,462.44
0xa3e9365d44baf9a07f9244102437a5e7a8ef30a7,395859.06
0xa4d313f6e8bb7ff51e534a60ffd9074435991925,571.69
0xa9ec6b74b1b97a5763a42a5f930c89fbba7f3790,287.12
0xaf4b2f11bab3c8904fd331b343405bc06481ae30,25.41
0xb1e559e2964c8737bf944e2850e5c97e966cdf8f,287.12
0xb3db8d23a98780002b10da5fb082e47b2d22e4f3,584.4
0xb8d779f81ea50f5d9abfc2468e459e400c91e8aa,254.09
0xb938d9c1428272e25c39b5786ad75559a36753dc,279.49
0xbb2412c4af7e9f931bace78ff7957a640916acb4,287.12
0xbdad5bd483d474351022131bf0f0682315a85a1e,228.68
0xbee1260f87623536aefd26a5fb404c54c9c3e6b6,228.68
0xba824a64571cd78020b77973ee49ab8b33626eb1,279.49
0xc079b900a6ca3cdb5e47002386b09cdd0f94f00b,355.72
0xc1269b5614c6f5cc50affa5e62d403622c6cdb3f,177.86
0xc14c38f186c9aa8f088bdfcd8977aa3212d2ac2e,7.62
0xc278bd6f0d14395929c1c233fa30e49962863ea9,109.26
0xc2b9a4b63fb3e4749b402ade90c4282b1e4852dd,185.48
