datetime,funding_history
2024-07-20,7.083333333333332e-07
2024-07-21,4.708333333333334e-06
2024-07-22,7.333333333333333e-06
2024-07-23,4.916666666666666e-06
2024-07-24,3.916666666666667e-06
2024-07-25,5.75e-06
2024-07-26,4.333333333333332e-06
2024-07-27,1.0916666666666668e-05
2024-07-28,1.0499999999999998e-05
2024-07-29,9.499999999999999e-06
2024-07-30,1.0958333333333333e-05
2024-07-31,1.0833333333333335e-05
2024-08-01,4.708333333333334e-06
2024-08-02,5.499999999999999e-06
2024-08-03,-2.0833333333333347e-07
2024-08-04,-1.125e-06
2024-08-05,-1.2916666666666667e-06
2024-08-06,4.166666666666666e-07
2024-08-07,5e-07
2024-08-08,-7.500000000000001e-07
2024-08-09,-1.3333333333333336e-06
2024-08-10,-7.083333333333335e-07
2024-08-11,-1.0000000000000002e-06
2024-08-12,7.083333333333335e-07
2024-08-13,-4.583333333333334e-07
2024-08-14,-8.333333333333334e-07
2024-08-15,2.2083333333333335e-06
2024-08-16,-1.2500000000000005e-07
2024-08-17,9.583333333333334e-07
2024-08-18,-5.416666666666667e-07
2024-08-19,-4.583333333333335e-07
2024-08-20,-2.916666666666668e-07
2024-08-21,2.708333333333334e-06
2024-08-22,3.2083333333333332e-06
2024-08-23,4.1249999999999995e-06
2024-08-24,2.875e-06
2024-08-25,2.083333333333333e-07
2024-08-26,-6.458333333333335e-06
2024-08-27,-1.2500000000000013e-07
2024-08-28,-2.4583333333333337e-06
2024-08-29,1.3333333333333332e-06
2024-08-30,3.4583333333333334e-06
2024-08-31,1.2291666666666664e-05
2024-09-01,8.791666666666667e-06
2024-09-02,5.166666666666666e-06
2024-09-03,1.4583333333333337e-06
2024-09-04,5.833333333333333e-07
2024-09-05,-5.293955920339377e-23
2024-09-06,-3.7499999999999996e-07
2024-09-07,-5.166666666666666e-06
2024-09-08,-6.8333333333333345e-06
2024-09-09,-4.583333333333333e-06
2024-09-10,-2.1666666666666665e-06
2024-09-11,5.833333333333333e-07
2024-09-12,1.5416666666666668e-06
2024-09-13,4.583333333333334e-07
2024-09-14,-4e-06
2024-09-15,-7.3750000000000005e-06
2024-09-16,-6.750000000000001e-06
2024-09-17,-2.4583333333333337e-06
2024-09-18,-1.5416666666666668e-06
2024-09-19,-2.0000000000000003e-06
2024-09-20,-1.3750000000000002e-06
2024-09-21,-3.875e-06
2024-09-22,-8.166666666666666e-06
2024-09-23,-8.624999999999998e-06
2024-09-24,-3.874999999999999e-06
2024-09-25,1.2500000000000005e-07
2024-09-26,5e-07
2024-09-27,-1.0833333333333335e-06
2024-09-28,-3.75e-07
2024-09-29,4.166666666666661e-08
2024-09-30,4.999999999999998e-07
2024-10-01,6.875000000000001e-06
2024-10-02,2.416666666666667e-06
2024-10-03,2e-06
2024-10-04,1.5e-06
2024-10-05,3.333333333333333e-06
2024-10-06,5.125e-06
2024-10-07,1.2958333333333334e-05
2024-10-08,1.533333333333333e-05
2024-10-09,1.1541666666666667e-05
2024-10-10,5.166666666666666e-06
2024-10-11,-4.1666666666666676e-08
2024-10-12,-2.4166666666666667e-06
2024-10-13,-5.416666666666667e-07
2024-10-14,6.875000000000001e-06
2024-10-15,1.6666666666666667e-05
2024-10-16,1.2916666666666667e-06
2024-10-17,7.916666666666667e-07
2024-10-18,8.75e-07
2024-10-19,9.583333333333334e-07
2024-10-20,2.25e-06
2024-10-21,3.0583333333333336e-05
2024-10-22,1.5291666666666665e-05
2024-10-23,1.754166666666667e-05
2024-10-24,2.0166666666666668e-05
2024-10-25,2.625e-05
2024-10-26,2.8416666666666665e-05
2024-10-27,2.9458333333333336e-05
2024-10-28,3.5791666666666665e-05
2024-10-29,4.2833333333333335e-05
2024-10-30,6.100000000000001e-05
2024-10-31,2.8666666666666658e-05
2024-11-01,2.1458333333333334e-05
2024-11-02,1.4083333333333335e-05
2024-11-03,3e-06
2024-11-04,1.1666666666666668e-05
2024-11-05,6.3333333333333326e-06
2024-11-06,2.2000000000000003e-05
2024-11-07,3.704166666666667e-05
2024-11-08,2.45e-05
2024-11-09,2.2500000000000005e-05
2024-11-10,3.9999999999999996e-05
2024-11-11,6.375e-05
2024-11-12,9.099999999999999e-05
2024-11-13,5.095833333333333e-05
2024-11-14,6.329166666666666e-05
2024-11-15,5.5374999999999984e-05
2024-11-16,6.358333333333334e-05
2024-11-17,6.437499999999999e-05
2024-11-18,7.300000000000001e-05
2024-11-19,6.521428571428572e-05
